,VEH1W
Ciapin1,13.92317344
Cisd1,16.70109802
Cisd2,15.79270629
Cisd3,14.21623194
Ckap4,18.60200223
Ckap5,15.95908864
Ckb,17.45834384
Ckm,15.92458113
Clasp1,14.87716899
Clasp2,16.50270403
Clcc1,15.743378
Clcn7,15.07995431
Clec2d,15.12722722
Clec3b,14.77534188
Clic1,16.71356076
Clic4,16.67031783
Clic5,13.764904
Clint1,17.39423569
Clip1,17.43185973
Clpb,14.04762348
Clpp,16.45634648
Clptm1,15.54241722
Clpx,16.03665821
Clta,17.49734095
Cltb,18.05909801
Cltc,20.58866898
Clu,17.90191202
Cluh,17.2137013
Clybl,17.77777685
Cma1,16.86658359
Cmas,15.7860751
Cmbl,17.82541868
Cmc2,12.22165899
Cmpk1,18.21585259
Cmpk2,16.2036238
Cnbp,17.2314723
Cndp2,18.98437071
Cnn2,16.35714221
Cnn3,15.93811575
Cnnm3,12.05388967
Cnot1,15.99817734
Cnot3,14.50859821
Cnp,16.46660436
Cnpy2,17.29441722
Cnst,11.7086099
Coa3,15.4881128
Coa7,14.80777764
Coasy,15.92995225
Cobll1,16.45498345
Cog4,14.32084172
Col12a1,15.86283661
Col14a1,18.80620721
Col15a1,18.94213386
Col18a1,17.07375906
Col1a1,19.75735479
Col1a2,18.86990957
Col3a1,17.30718412
Col4a1,17.26601067
Col4a2,17.96649101
Col5a1,17.01564681
Col5a2,16.98065487
Col6a1,19.48937875
Col6a2,19.61842634
Col6a6,17.31978539
Colgalt1,16.63548531
Comt,15.81288959
Copa,18.86304322
Copb1,17.73023637
Copb2,18.6095364
Cope,15.01396074
Copg1,18.08172119
Copg2,16.81591354
Cops2,16.44396537
Cops3,16.49673478
Cops4,17.29914645
Cops5,15.54174511
Cops6,14.93325503
Cops7a,16.53499849
Cops8,14.53068778
Copz1,15.83208335
Coq3,14.44017905
Coq4,12.94649076
Coq6,14.17918824
Coq9,15.82207074
Coro1a,18.55899523
Coro1b,17.67202771
Coro1c,17.79784103
Coro7,17.90688424
Cotl1,17.56919812
Cox4i1,18.47232273
Cox5a,16.82825919
Cox5b,17.72497566
Cox6a1,13.28668249
Cox6b1,17.74376201
Cox6c,17.41952308
Cox7a2,13.19873081
Cox7b,15.11684516
Cox7c,15.02570861
Cp,19.65779383
Cpa3,17.33520564
Cpb2,11.36363
Cpd,11.97136467
Cpne1,16.51812529
Cpne3,16.99965698
Cpox,14.95615617
Cpped1,15.01248731
Cpq,17.34293131
Cpsf6,15.81284085
Cpsf7,14.27857157
Cpt1a,17.2962981
Cpt1b,13.45269584
Cpt2,18.5148421
Cr1l,16.09821378
Crat,17.56217015
Crebbp,11.97363809
Creld1,15.97777153
Crip1,17.92423968
Crip2,16.53570181
Crk,17.17312877
Crkl,16.00562096
Crlf3,15.58740711
Crls1,11.39578124
Crot,14.58605958
Cryab,15.13634295
Cryl1,16.87739924
Cryz,16.08673942
Cs,19.41747424
Csad,18.00937221
Csde1,17.39874231
Cse1l,17.6037063
Csk,16.9323657
Csnk1a1,14.05394643
Csnk2a1,14.79824282
Csnk2a2,13.5577206
Csnk2b,15.50143586
Cspg4,16.04416629
Csrp1,17.27564035
Cst3,15.679826
Cstf2,14.45667418
Ctbp1,14.68384736
Ctcf,13.65199533
Ctdp1,13.33284249
Ctdsp1,13.39865029
Ctnna1,17.66551952
Ctnnb1,17.21121696
Ctnnd1,17.22704684
Ctps1,16.10128141
Ctsa,17.51159389
Ctsb,19.21823833
Ctsd,18.55656824
Ctsf,16.4905177
Ctsh,16.94533211
Ctsl,16.41570954
Ctsz,17.75844495
Cttn,17.93001693
Cttnbp2nl,13.70485997
Cul1,16.0718256
Cul2,15.35835211
Cul3,16.73028198
Cul4a,15.81592781
Cul4b,15.63713458
Cul5,16.76883073
Cutc,14.96956218
Cwc15,14.37095019
Cwc22,13.00888742
Cyb5a,18.67229821
Cyb5b,17.43543145
Cyb5r1,15.86852857
Cyb5r3,18.22278508
Cyc1,17.08290737
Cyfip1,17.61435604
Cygb,16.6187679
Cyp20a1,17.37540503
Cyp27a1,15.34500021
Cyp2d11,12.44678877
Cyp4b1,16.31110947
Cyp4v2,15.66019264
D10Jhu81e,17.5513835
D17h6s53e,12.45184446
Dab2,16.47513961
Dab2ip,14.03102281
Dad1,16.00875506
Dag1,16.8035985
Dak,16.31635322
Dap,15.40301264
Dap3,13.7554588
Dars,19.01562986
Dars2,13.52455091
Dazap1,15.91083708
Dbi,21.37275878
Dbn1,16.35302428
Dbnl,17.23230463
Dbt,17.98504883
Dcaf8,15.93467668
Dcakd,13.82981951
Dcn,19.39975396
Dcps,15.03496216
Dctn1,18.79415137
Dctn2,17.64483578
Dctn3,16.85865447
Dctn4,16.59458772
Dctpp1,11.41387394
Dcun1d1,12.79271249
Dcxr,16.2924107
Ddah2,16.52441986
Ddb1,17.60786561
Ddhd2,14.38944608
Ddi2,16.58781191
Ddost,15.88108357
Ddrgk1,14.63280553
Ddt,16.63417234
Ddx1,17.73661896
Ddx17,17.20471847
Ddx18,14.79403899
Ddx19a,18.02847105
Ddx21,17.56707723
Ddx28,12.36217203
Ddx39a,14.03448799
Ddx39b,16.98317191
Ddx3x,18.71329323
Ddx3y,14.56101676
Ddx42,15.67006045
Ddx5,18.40780645
Ddx58,16.88159246
Ddx6,16.64455475
Decr1,18.50321351
Dek,16.38253481
Dennd4c,17.38348545
Denr,16.67471014
Derl1,15.58773286
Des,18.8926961
Dgat1,16.1287222
Dgkz,13.17191337
Dguok,13.09975991
Dhdh,18.40774783
Dhrs1,18.65415454
Dhrs11,15.94470781
Dhrs4,17.63190301
Dhrs7,17.21441054
Dhrs7b,15.97797961
Dhx15,17.08944169
Dhx29,14.37516956
Dhx30,13.75157561
Dhx32,13.85066852
Dhx36,12.89592945
Dhx9,17.97845163
Diablo,13.36136498
Diaph1,17.56749331
Dip2b,15.61107247
Dis3,14.5074094
Dis3l2,15.01899466
Dkc1,14.77570802
Dlat,17.53222984
Dld,19.02136609
Dlg1,16.49285212
Dlgap4,15.21261882
Dlst,17.06353387
Dmd,15.87824392
Dmtn,15.70127703
Dmxl1,15.95972013
Dnaja1,17.67701277
Dnaja2,17.17834551
Dnaja3,15.84990073
Dnajb1,15.63434664
Dnajb11,16.35404595
Dnajb2,15.58216713
Dnajb4,15.76973365
Dnajb6,16.20328107
Dnajc11,15.34215161
Dnajc15,12.52480214
Dnajc19,14.17876976
Dnajc2,15.19016545
Dnajc25,14.99022629
Dnajc3,16.62886444
Dnajc5,16.3524515
Dnajc7,13.52225335
Dnajc8,16.52479984
Dnm1l,17.65980976
Dnm2,18.70995508
Dnm3,13.75089077
Dnpep,17.06947686
Dock7,16.70518993
Dolk,10.6011103
Dpep1,16.75155573
Dpm1,15.74048162
Dpp3,17.526985
Dpp4,17.36629227
Dpp7,14.91563181
Dpt,15.4450015
Dpysl2,19.02415165
Dpysl3,17.66874524
Dr1,14.78989092
Drg2,15.91593613
Dst,18.37934901
Dstn,17.51807607
Dtd1,15.98372889
Dtd2,17.09167332
Dtymk,14.23004515
Dus3l,13.04919066
Dusp3,15.91598878
Dync1h1,20.97920656
Dync1i2,17.89567307
Dync1li1,16.88366473
Dync1li2,17.09448107
Dynll1,13.8128693
Dynll2,16.21136363
Dynlrb1,14.59435957
Dynlt1,13.7125777
Dysf,16.39098776
Ece1,12.55992283
Ech1,18.53598013
Echdc1,17.37434773
Echdc3,15.93438038
Echs1,18.24798822
Eci1,18.34938249
Eci2,16.87991488
Ecm1,17.27907365
Ecm29,17.21836714
Ecsit,13.0132254
Edf1,17.61719501
Eea1,19.38097997
Eef1a1,20.51203005
Eef1b,17.63962397
Eef1d,17.38096419
Eef1e1,15.35978539
Eef1g,19.22256992
Eef2,20.04275341
Efemp1,15.10812673
Efhd2,17.82206845
Efnb1,14.98550636
Efr3a,16.32968529
Eftud2,17.40763751
Egfr,17.32610005
Egln1,13.85539492
Ehbp1l1,16.20245396
Ehd1,19.02038766
Ehd2,20.66167575
Ehd3,15.88686593
Ehd4,17.83946504
Ehhadh,17.65930545
Eif1ax,16.4612452
Eif1b,14.49166754
Eif2a,17.137512
Eif2b2,14.3589864
Eif2b4,14.68188472
Eif2b5,13.991814
Eif2s1,18.07610685
Eif2s2,16.95660697
Eif2s3x,18.03033432
Eif2s3y,10.91330028
Eif3a,19.3523847
Eif3b,18.22208359
Eif3c,18.22393373
Eif3d,16.21307548
Eif3e,17.2261751
Eif3f,16.43708643
Eif3g,16.71105629
Eif3h,17.40121453
Eif3i,17.46504235
Eif3j1,17.19639168
Eif3k,15.71462211
Eif3l,17.67846524
Eif3m,13.33957473
Eif4a1,19.31383161
Eif4a2,15.3285923
Eif4a3,16.77611235
Eif4b,18.43505592
Eif4e,15.37992846
Eif4e3,16.11619427
Eif4ebp1,13.47597097
Eif4g1,18.25494692
Eif4g2,17.80332097
Eif4g3,16.7840063
Eif4h,17.68951733
Eif5,17.48195217
Eif5a,17.9728632
Eif5b,17.82825157
Eif6,15.63569267
Elac2,11.66128412
Elavl1,16.76441935
Elmo1,15.93053157
Eln,14.37176622
Elp3,14.21731045
Emc1,16.19316294
Emc10,15.30865068
Emc2,15.93710601
Emc3,12.73349563
Emc4,14.63518628
Emc7,15.52419135
Emc8,16.11617865
Emcn,12.48161582
Emd,16.51405628
Emilin1,15.29173596
Eml1,15.16056985
Eml2,15.25959242
Eml4,15.92911179
Enah,11.44715372
Endod1,15.09676138
Eng,15.86380412
Eno1,20.21219537
Eno3,16.28798788
Enpep,18.2904417
Enpp4,15.00264076
Ensa,16.14240037
Entpd1,16.68963877
Entpd2,16.21416299
Entpd5,13.80552262
Epb41,16.06878619
Epb41l1,16.6200586
Epb41l2,19.9546131
Epb41l3,13.32049191
Epb42,16.66257251
Epdr1,13.21261208
Ephx1,17.63930573
Ephx2,18.15871476
Epn1,13.34557104
Epn2,14.57947965
Eppk1,14.12736021
Eprs,19.604555
Eps15l1,17.06181687
Eral1,9.097618513
Erap1,17.93215727
Erbb2ip,13.58114837
Ercc3,13.25259198
Ergic1,17.49804845
Erh,15.97492546
Eri3,13.9224258
Erlin2,17.63714542
Ermp1,17.39637252
Ero1l,18.38217472
Erp29,18.45031829
Erp44,17.13340846
Esam,16.95294058
Esd,17.62888438
Esyt1,19.42946596
Esyt2,17.61484977
Etf1,15.51165872
Etfa,18.84604851
Etfb,19.08115408
Etfdh,18.80692897
Ethe1,14.70866568
Evl,16.9076561
Ewsr1,16.62983603
Exoc1,15.71358082
