,Status,Batch,pca_browning_score_PC1,pca_browning_score_PC2,lda_browning_score_Brown,lda_browning_score_White,lda_browning_score_Brown_lasso,lda_browning_score_White_lasso,rf_browning_score_Brown,rf_browning_score_White,lr_browning_score_Brown,lr_browning_score_White,lr_browning_score_Brown_markers,lr_browning_score_White_markers,Composite_Score
KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_3_2127,Intermediate,KristinaiWAT,-47.55121002012852,2.1502764647094006,0.0,1.0,0.0,1.0,0.32,0.68,0.002398179368166886,0.9976018206318331,0.018035967640968043,0.981964032359032,-40.40093355541912
KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_4_2145,Intermediate,KristinaiWAT,-66.44628366374796,-24.26436522385887,0.0,1.0,0.0,1.0,0.4,0.6,0.005006363934712765,0.9949936360652872,0.14470148685801454,0.8552985131419855,-85.71064888760684
KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_5_3253,Intermediate,KristinaiWAT,-71.43126850870478,-5.991112068488063,0.0,1.0,0.0,1.0,0.25,0.75,0.0017511059647653537,0.9982488940352346,0.023490931230808587,0.9765090687691914,-72.42238057719284
KristinaiWAT-KristinaiWAT-LFQ intensity CD_iWAT_6_4222,Intermediate,KristinaiWAT,-86.82359471177963,-21.90361313690731,0.0,1.0,0.0,1.0,0.28,0.72,0.000648305575511654,0.9993516944244883,0.015232291769289641,0.9847677082307104,-103.72720784868694
KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_1_1096,Intermediate,KristinaiWAT,-103.0475998129579,-34.7688301785233,1.0,4.200311978914466e-262,0.0,1.0,0.29,0.71,0.0005133856817240989,0.9994866143182759,0.013205465346825984,0.986794534653174,-132.8164299914812
KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_2_1544,Intermediate,KristinaiWAT,-57.291723667568164,-6.0324204969704285,0.0,1.0,0.0,1.0,0.21,0.79,0.0024468394984987762,0.9975531605015012,0.024898260611967094,0.9751017393880329,-58.324144164538595
KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_3_2005,Intermediate,KristinaiWAT,-71.08387420764461,-10.508549764805663,0.0,1.0,0.0,1.0,0.35,0.65,0.004455675574488116,0.9955443244255119,0.022257801584138037,0.977742198415862,-76.59242397245028
KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_4_2179,Intermediate,KristinaiWAT,-47.80672093227977,6.2362679536558,0.0,1.0,0.0,1.0,0.49,0.51,0.0043226253195257636,0.9956773746804742,0.10786558737477647,0.8921344126252235,-36.57045297862397
KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_5_3416,Intermediate,KristinaiWAT,-89.68185164946696,-32.00662698786544,1.0,2.2459576732643224e-223,0.0,1.0,0.26,0.74,0.0005494587347344426,0.9994505412652656,0.01119534590530935,0.9888046540946906,-116.6884786373324
KristinaiWAT-KristinaiWAT-LFQ intensity HFD_CD_iWAT_6_4224,Intermediate,KristinaiWAT,-88.63276226341435,-22.123859974265418,1.0,0.0,0.0,1.0,0.24,0.76,0.00032635980247208707,0.9996736401975279,0.008757495644985402,0.9912425043550146,-105.75662223767976
KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_1_1106,Intermediate,KristinaiWAT,-95.1413272031483,-12.261670114263822,1.0,1.0248876424601316e-54,0.0,1.0,0.3,0.7,0.0006336914273339378,0.9993663085726661,0.11665361693841636,0.8833463830615836,-102.40299731741212
KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_2_1541,Intermediate,KristinaiWAT,-15.392874485857089,23.732616338038607,1.0,1.543456421218901e-60,0.0,1.0,0.32,0.68,0.004064679415261341,0.9959353205847387,0.014252984168229288,0.9857470158317707,13.339741852181518
KristinaiWAT-KristinaiWAT-LFQ intensity HFD_iWAT_3_2002,Intermediate,KristinaiWAT,-34.062507299140876,12.776876070326766,0.0,1.0,0.0,1.0,0.29,0.71,0.0018042169467227254,0.9981957830532773,0.01647597644645382,0.9835240235535462,-16.28563122881411
